1.00000	0.00000	0.76453
2.00000	0.10000	0.98115
3.00000	0.20000	1.24357
4.00000	0.30000	1.47240
5.00000	0.40000	1.74955
6.00000	0.50000	2.05406
7.00000	0.60000	2.30336
8.00000	0.70000	2.57228
9.00000	0.80000	2.74728
10.00000	0.90000	2.98051
11.00000	1.00000	3.23189
12.00000	1.10000	3.42357
13.00000	1.20000	3.61392
14.00000	1.30000	3.84523
15.00000	1.40000	4.06150
16.00000	1.50100	4.25873
17.00000	1.60000	4.38408
18.00000	1.70000	4.47205
19.00000	1.80000	4.69236
20.00000	1.90000	4.81661
21.00000	2.00000	4.98330
22.00000	2.20000	5.32371
23.00000	2.40000	5.60523
24.00000	2.60000	5.80199
25.00000	2.80000	5.93913
26.00000	3.00000	6.16811
27.00000	3.20000	6.28614
28.00000	3.40000	6.39028
29.00000	3.60000	6.52849
30.00000	3.80100	6.59716
31.00000	4.00000	6.70709
32.00000	4.40000	6.82888
33.00000	4.80000	6.88253
34.00000	5.20000	6.93173
35.00000	5.60100	6.93029
36.00000	6.00000	6.95455
37.00000	6.40100	6.97029
38.00000	6.80000	6.97553
39.00000	7.20000	6.97885
0.00000	7.60000	6.96501
